STATUS | wrapper  | 2017/02/17 11:34:25 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:34:25 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:34:25 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:34:25 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:34:25 | 
STATUS | wrapper  | 2017/02/17 11:34:26 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:34:26 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:34:26 | 2017-02-17 11:34:26 PdsMover ready - v5
STATUS | wrapper  | 2017/02/17 11:37:38 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:37:39 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:39:33 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:39:33 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:39:33 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:39:33 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:39:33 | 
STATUS | wrapper  | 2017/02/17 11:39:33 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:39:34 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:39:34 | 2017-02-17 11:39:34 PdsMover ready - v5
STATUS | wrapper  | 2017/02/17 11:40:06 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:40:06 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:52:23 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:52:23 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:52:23 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:52:23 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:52:23 | 
STATUS | wrapper  | 2017/02/17 11:52:23 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:52:23 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:52:24 | 2017-02-17 11:52:24 PdsMover ready - v5
STATUS | wrapper  | 2017/02/17 11:52:55 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:52:56 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:54:28 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:54:28 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:54:28 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:54:28 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:54:28 | 
STATUS | wrapper  | 2017/02/17 11:54:29 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:54:29 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:54:29 | 2017-02-17 11:54:29 PdsMover ready - v5
STATUS | wrapper  | 2017/02/17 12:01:32 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:01:32 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 12:02:03 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 12:02:03 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 12:02:03 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 12:02:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 12:02:03 | 
STATUS | wrapper  | 2017/02/17 12:02:03 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 12:02:03 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 12:02:03 | 2017-02-17 12:02:03 PdsMover ready - v5
STATUS | wrapper  | 2017/02/17 12:04:54 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:04:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 12:07:13 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 12:07:13 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 12:07:13 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 12:07:13 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 12:07:13 | 
STATUS | wrapper  | 2017/02/17 12:07:13 | Launching a JVM...
