STATUS | wrapper  | 2017/02/17 11:34:29 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:34:29 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:34:29 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:34:29 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:34:29 | 
STATUS | wrapper  | 2017/02/17 11:34:29 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:34:29 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:34:30 | 2017-02-17 11:34:30 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/17 11:34:30 | 2017-02-17 11:34:30 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/17 11:37:40 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:37:40 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:39:37 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:39:37 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:39:37 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:39:37 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:39:37 | 
STATUS | wrapper  | 2017/02/17 11:39:37 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:39:37 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:39:37 | 2017-02-17 11:39:37 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/17 11:39:37 | 2017-02-17 11:39:37 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/17 11:40:07 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:40:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:52:26 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:52:26 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:52:26 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:52:26 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:52:26 | 
STATUS | wrapper  | 2017/02/17 11:52:27 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:52:27 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:52:27 | 2017-02-17 11:52:27 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/17 11:52:27 | 2017-02-17 11:52:27 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/17 11:52:56 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:52:57 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:54:32 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:54:32 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:54:32 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:54:32 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:54:32 | 
STATUS | wrapper  | 2017/02/17 11:54:32 | Launching a JVM...
