STATUS | wrapper  | 2017/02/17 11:34:22 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:34:22 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:34:22 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:34:22 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:34:22 | 
STATUS | wrapper  | 2017/02/17 11:34:22 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:34:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:34:23 | 2017-02-17 11:34:23 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 11:34:23 | 2017-02-17 11:34:23 Validator starting run
INFO   | jvm 1    | 2017/02/17 11:34:23 | 2017-02-17 11:34:23 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:34:23 | 2017-02-17 11:34:23 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:34:23 | 2017-02-17 11:34:23 0 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:34:23 | 2017-02-17 11:34:23 0 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:34:23 | 2017-02-17 11:34:23 Validator ending run
STATUS | wrapper  | 2017/02/17 11:37:37 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:37:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:39:29 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:39:29 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:39:29 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:39:29 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:39:29 | 
STATUS | wrapper  | 2017/02/17 11:39:30 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:39:30 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:39:30 | 2017-02-17 11:39:30 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 11:39:30 | 2017-02-17 11:39:30 Validator starting run
INFO   | jvm 1    | 2017/02/17 11:39:30 | 2017-02-17 11:39:30 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:39:30 | 2017-02-17 11:39:30 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:39:30 | 2017-02-17 11:39:30 113 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:39:30 | 2017-02-17 11:39:30 6 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:39:30 | 2017-02-17 11:39:30 Validator ending run
STATUS | wrapper  | 2017/02/17 11:40:05 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:40:05 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:52:19 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:52:19 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:52:19 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:52:19 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:52:19 | 
STATUS | wrapper  | 2017/02/17 11:52:20 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:52:20 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:52:20 | 2017-02-17 11:52:20 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 11:52:20 | 2017-02-17 11:52:20 Validator starting run
INFO   | jvm 1    | 2017/02/17 11:52:20 | 2017-02-17 11:52:20 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:52:20 | 2017-02-17 11:52:20 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:52:20 | 2017-02-17 11:52:20 119 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:52:20 | 2017-02-17 11:52:20 11 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:52:20 | 2017-02-17 11:52:20 Validator ending run
STATUS | wrapper  | 2017/02/17 11:52:54 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 11:52:55 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 11:54:25 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 11:54:25 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 11:54:25 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 11:54:25 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 11:54:25 | 
STATUS | wrapper  | 2017/02/17 11:54:25 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 11:54:25 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 11:54:25 | 2017-02-17 11:54:25 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 11:54:25 | 2017-02-17 11:54:25 Validator starting run
INFO   | jvm 1    | 2017/02/17 11:54:26 | 2017-02-17 11:54:25 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:54:26 | 2017-02-17 11:54:25 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:54:26 | 2017-02-17 11:54:25 119 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:54:26 | 2017-02-17 11:54:25 11 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 11:54:26 | 2017-02-17 11:54:25 Validator ending run
STATUS | wrapper  | 2017/02/17 12:01:31 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:01:31 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 12:01:59 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 12:01:59 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 12:01:59 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 12:01:59 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 12:01:59 | 
STATUS | wrapper  | 2017/02/17 12:01:59 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 12:02:00 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 12:02:00 | 2017-02-17 12:02:00 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 12:02:00 | 2017-02-17 12:02:00 Validator starting run
INFO   | jvm 1    | 2017/02/17 12:02:00 | 2017-02-17 12:02:00 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:02:00 | 2017-02-17 12:02:00 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:02:00 | 2017-02-17 12:02:00 144 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:02:00 | 2017-02-17 12:02:00 17 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:02:00 | 2017-02-17 12:02:00 Validator ending run
STATUS | wrapper  | 2017/02/17 12:04:52 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:04:53 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 12:07:09 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 12:07:09 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 12:07:09 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 12:07:09 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 12:07:09 | 
STATUS | wrapper  | 2017/02/17 12:07:10 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 12:07:10 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 Validator starting run
INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 156 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 23 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 Validator ending run
STATUS | wrapper  | 2017/02/17 12:08:45 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:08:46 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 12:10:03 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 12:10:03 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 12:10:03 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 12:10:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 12:10:03 | 
STATUS | wrapper  | 2017/02/17 12:10:03 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 12:10:04 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 Validator starting run
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 177 TimeAncillaries checked, 0 missing files
